customer_age,contacts_count_12_mon,credit_limit,total_revolving_bal,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,trans_amt_per_dependent,trans_ct_per_dependent,trans_amt_per_products,trans_ct_per_products,avg_trans_amt,proportion_inactive_months,products_per_tenure,trans_ct_per_contacts,products_per_inactivity,trans_ct_per_inactivity,trans_amt_per_credit_limit,age_per_tenure,trans_ct_per_tenure,trans_amt_per_tenure,total_spending,education_income_levels,churn_flag
36.0,2.0,2570.0,2230.0,0.6859999895095825,1755.0,42.0,0.4480000138282776,0.868,0.0,0.0,438.75,10.5,41.78571319580078,0.125,0.1666666716337204,21.0,1.3333333730697632,14.0,0.6828793883323669,1.5,1.75,73.125,3985.0,0.0,0
44.0,3.0,25276.0,0.0,0.8489999771118164,2282.0,38.0,0.5830000042915344,0.0,760.6666870117188,12.666666984558105,456.3999938964844,7.599999904632568,60.05263137817383,0.0555555559694767,0.1388888955116272,12.666666984558105,2.5,19.0,0.09028327465057373,1.2222222089767456,1.0555555820465088,63.38888931274414,2282.0,3.0,1
46.0,1.0,11670.0,915.0,0.8920000195503235,4277.0,89.0,0.8539999723434448,0.078,2138.5,44.5,712.8333129882812,14.833333015441895,48.05617904663086,0.10000000149011612,0.20000000298023224,89.0,2.0,29.66666603088379,0.366495281457901,1.5333333015441895,2.9666666984558105,142.56666564941406,5192.0,4.0,0
36.0,3.0,3124.0,1593.0,0.8690000176429749,1652.0,41.0,0.367000013589859,0.51,826.0,20.5,550.6666870117188,13.666666984558105,40.29268264770508,0.0416666679084301,0.125,13.666666984558105,3.0,41.0,0.5288091897964478,1.5,1.7083333730697632,68.83333587646484,3245.0,3.0,0
50.0,3.0,34516.0,1185.0,0.7250000238418579,3874.0,72.0,0.7139999866485596,0.034,3874.0,72.0,968.5,18.0,53.80555725097656,0.05000000074505806,0.10000000149011612,24.0,2.0,36.0,0.11223780363798141,1.25,1.7999999523162842,96.8499984741211,5059.0,7.0,0
43.0,4.0,11336.0,0.0,0.6909999847412109,1809.0,39.0,0.3449999988079071,0.0,603.0,13.0,603.0,13.0,46.38461685180664,0.06666667014360428,0.10000000149011612,9.75,1.5,19.5,0.15958009660243988,1.4333332777023315,1.2999999523162842,60.29999923706055,1809.0,3.0,1
42.0,1.0,3794.0,1544.0,0.7200000286102295,7872.0,80.0,0.5379999876022339,0.407,2624.0,26.66666603088379,3936.0,40.0,98.4000015258789,0.09090909361839294,0.06060606241226196,80.0,0.6666666865348816,26.66666603088379,2.074855089187622,1.2727272510528564,2.4242424964904785,238.5454559326172,9416.0,3.0,0
48.0,3.0,2335.0,1845.0,0.5370000004768372,1362.0,33.0,0.26899999380111694,0.79,454.0,11.0,340.5,8.25,41.272727966308594,0.0833333358168602,0.1111111119389534,11.0,1.3333333730697632,11.0,0.5832976698875427,1.3333333730697632,0.9166666865348816,37.83333206176758,3207.0,2.0,0
29.0,2.0,3839.0,1139.0,0.6320000290870667,14791.0,124.0,0.7710000276565552,0.297,14791.0,124.0,3697.75,31.0,119.28225708007812,0.0833333358168602,0.1111111119389534,62.0,1.3333333730697632,41.33333206176758,3.8528263568878174,0.8055555820465088,3.444444417953491,410.8611145019531,15930.0,3.0,0
55.0,1.0,13565.0,0.0,0.5600000023841858,3705.0,69.0,0.9169999957084656,0.0,1852.5,34.5,1235.0,23.0,53.69565200805664,0.06382978707551956,0.06382978707551956,69.0,1.0,23.0,0.2731293737888336,1.170212745666504,1.4680850505828857,78.82978820800781,3705.0,3.0,0
53.0,2.0,3719.0,2517.0,0.6660000085830688,2587.0,43.0,0.5360000133514404,0.677,646.75,10.75,431.1666564941406,7.166666507720947,60.16279220581055,0.054054055362939835,0.1621621549129486,21.5,3.0,21.5,0.6956170797348022,1.4324324131011963,1.162162184715271,69.9189224243164,5104.0,5.0,1
48.0,3.0,2447.0,1267.0,0.4490000009536743,2132.0,37.0,0.3700000047683716,0.518,533.0,9.25,710.6666870117188,12.333333015441895,57.621620178222656,0.0731707289814949,0.0731707289814949,12.333333015441895,1.0,12.333333015441895,0.8712709546089172,1.1707316637039185,0.9024389982223511,52.0,3399.0,0.0,1
56.0,1.0,1438.300048828125,0.0,0.7960000038146973,3778.0,72.0,1.1180000305175781,0.0,1259.3333740234375,24.0,755.5999755859375,14.399999618530273,52.47222137451172,0.09756097197532654,0.12195122241973877,72.0,1.25,18.0,2.6267120838165283,1.3658536672592163,1.7560975551605225,92.1463394165039,3778.0,3.0,0
39.0,4.0,34198.0,1804.0,0.9340000152587891,4270.0,59.0,0.6389999985694885,0.053,854.0,11.800000190734863,1423.3333740234375,19.66666603088379,72.37287902832031,0.1034482792019844,0.1034482792019844,14.75,1.0,19.66666603088379,0.12486110627651215,1.3448275327682495,2.034482717514038,147.2413787841797,6074.0,5.0,0
50.0,1.0,2428.0,2005.0,0.8349999785423279,5170.0,68.0,0.6589999794960022,0.826,2585.0,34.0,1034.0,13.600000381469727,76.02941131591797,0.1111111119389534,0.1388888955116272,68.0,1.25,17.0,2.129324436187744,1.3888888359069824,1.8888888359069824,143.61111450195312,7175.0,3.0,0
45.0,2.0,23981.0,1684.0,0.7360000014305115,4141.0,73.0,0.5210000276565552,0.07,1035.25,18.25,828.2000122070312,14.600000381469727,56.72602844238281,0.025641025975346565,0.12820513546466827,36.5,5.0,73.0,0.1726783663034439,1.1538461446762085,1.8717948198318481,106.17948913574219,5825.0,1.0,0
47.0,4.0,18064.0,2039.0,0.8899999856948853,4435.0,88.0,0.7960000038146973,0.113,1478.3333740234375,29.33333396911621,887.0,17.600000381469727,50.397727966308594,0.029411764815449715,0.14705882966518402,22.0,5.0,88.0,0.24551594257354736,1.3823529481887817,2.588235378265381,130.44117736816406,6474.0,3.0,0
43.0,4.0,2621.0,598.0,0.9670000076293945,4852.0,85.0,0.7710000276565552,0.228,970.4000244140625,17.0,808.6666870117188,14.166666984558105,57.08235168457031,0.0555555559694767,0.1666666716337204,21.25,3.0,42.5,1.8512017726898193,1.1944444179534912,2.3611111640930176,134.77777099609375,5450.0,2.0,0
46.0,1.0,1489.0,949.0,0.6499999761581421,4669.0,94.0,0.7409999966621399,0.637,1556.3333740234375,31.33333396911621,1167.25,23.5,49.67021179199219,0.024390242993831635,0.09756097197532654,94.0,4.0,94.0,3.1356616020202637,1.1219512224197388,2.2926828861236572,113.8780517578125,5618.0,2.0,0
46.0,1.0,2228.0,1449.0,0.6100000143051147,4382.0,83.0,0.6940000057220459,0.65,1460.6666259765625,27.66666603088379,876.4000244140625,16.600000381469727,52.79518127441406,0.03448275849223137,0.17241379618644714,83.0,5.0,83.0,1.9667863845825195,1.5862069129943848,2.8620688915252686,151.10345458984375,5831.0,0.0,0
